session_id,start_time,duration_minutes,conversation_count,avg_response_time_ms,cache_hit_rate,avg_stt_time_ms,avg_llm_time_ms
session_1756856294,1756856294.602467,6.981690724690756e-06,1,2200.0,0.0,750.0,1200.0
session_1756858204,1756858204.342133,1.3593058149019877,2,3564.1568899154663,100.0,1119.2735433578491,2444.388508796692
